TICK,VALIDATION,YAHOOTICK,TERMINACION,SECTOR,SUBSECTOR,DENOMINACION,TIPO,
AC,validado,AC.MX,,PRODUCTOS DE CONSUMO FRECUENTE,"ALIMENTOS, BEBIDAS Y TABACO",Arca Continental,SAB CV,
ACCELSA,validado,ACCELSAB.MX,B,INDUSTRIAL,SUMINISTROS Y SERVICIOS COMERCIALES,Accel,SAB CV,
ACTINVR,validado,ACTINVRB.MX,B,SERVICIOS FINANCIEROS,ENTIDADES FINANCIERAS,Corporacion actinver,,
AEROMEX,validado,AEROMEX.MX,,INDUSTRIAL,TRANSPORTES,Grupo Aeromexico,,
AGRIEXP,validado,AGRIEXPA.MX,A,PRODUCTOS DE CONSUMO FRECUENTE,"ALIMENTOS, BEBIDAS Y TABACO",AGRO INDUSTRIAL EXPORTADORA,,
AGUA,validado,AGUA.MX,,INDUSTRIAL,BIENES DE EQUIPO,GrupoRotoplas,,
AHMSA,validado,AHMSA.MX,,MATERIALES,MATERIALES,Altos Hornos de Mexico,,
ALEATIC,validado,ALEATIC.MX,,INDUSTRIAL,CONSTRUCCION,Aleatica,SAB,CV
ALFA,validado,ALFAA.MX,A,INDUSTRIAL,BIENES DE EQUIPO,"ALFA Petroquimicos platicos, autopartes aluminio",SAB,CV
ALPEK,validado,ALPEKA.MX,A,MATERIALES,MATERIALES,ALPEK,SAB,CV
ALSEA,validado,ALSEA.MX,,SERVICIOS Y BIENES DE CONSUMO NO BASICO,SERVICIOS AL CONSUMIDOR,ALSEA,SAB,CV
AMX,validado,AMXA.MX,A,SERVICIOS DE TELECOMUNICACIONES,SERVICIOS DE TELECOMUNICACIONES,AMERICA MOVIL,SAB,CV
ARA,validado,ARA.MX,,INDUSTRIAL,CONSTRUCCION,CONSORCIO ARA construccion,SAB,CV
ARISTOS,validado,ARISTOSA.MX,A,INDUSTRIAL,CONSTRUCCION,CONSORCIO ARISTOS,SAB,CV
ASUR,validado,ASURB.MX,B,INDUSTRIAL,TRANSPORTES,GRUPO AEROPORTUARIO SURESTE,SAB,CV
AUTLAN,validado,AUTLANB.MX,B,MATERIALES,MATERIALES,COMPANIA MINERA AUTLAN SAB,,
AXTEL,validado,AXTELCPO.MX,CPO,SERVICIOS DE TELECOMUNICACIONES,SERVICIOS DE TELECOMUNICACIONES,AXTEL,SAB,CV
AZTECA,validado,AZTECACPO.MX,CPO,SERVICIOS DE TELECOMUNICACIONES,MEDIOS DE COMUNICACION,TV AZTECA,SAB,CV
BACHOCO,validado,BACHOCOB.MX,B,PRODUCTOS DE CONSUMO FRECUENTE,"ALIMENTOS, BEBIDAS Y TABACO",,,
BAFAR,validado,BAFARB.MX,B,PRODUCTOS DE CONSUMO FRECUENTE,"ALIMENTOS, BEBIDAS Y TABACO",,,
BBAJIO,validado,BBAJIOO.MX,O,SERVICIOS FINANCIEROS,ENTIDADES FINANCIERAS,,,
BEVIDES,validado,BEVIDESA.MX,A,SALUD,"EQUIPO, MEDICAMENTOS Y SERVICIOS MEDICOS",,,
BIMBO,validado,BIMBOA.MX,A,PRODUCTOS DE CONSUMO FRECUENTE,"ALIMENTOS, BEBIDAS Y TABACO",,,
BOLSA,validado,BOLSAA.MX,A,SERVICIOS FINANCIEROS,ENTIDADES FINANCIERAS,,,
BSMX,validado,BSMXB.MX,B,SERVICIOS FINANCIEROS,ENTIDADES FINANCIERAS,,,
CABLE,validado,CABLECPO.MX,CPO,SERVICIOS DE TELECOMUNICACIONES,MEDIOS DE COMUNICACION,,,
CADU,validado,CADUA.MX,A,INDUSTRIAL,CONSTRUCCION,,,
CEMEX,validado,CEMEXCPO.MX,CPO,MATERIALES,MATERIALES,,,
CERAMIC,validado,CERAMICB.MX,B,INDUSTRIAL,BIENES DE EQUIPO,,,
CHDRAUI,validado,CHDRAUIB.MX,B,PRODUCTOS DE CONSUMO FRECUENTE,VENTA DE PRODUCTOS DE CONSUMO FRECUENTE,,,
CIDMEGA,validado,CIDMEGA.MX,,SERVICIOS Y BIENES DE CONSUMO NO BASICO,SERVICIOS AL CONSUMIDOR,,,
CIE,validado,CIEB.MX,B,SERVICIOS Y BIENES DE CONSUMO NO BASICO,SERVICIOS AL CONSUMIDOR,,,
CMOCTEZ,validado,CMOCTEZ.MX,,MATERIALES,MATERIALES,,,
CMR,validado,CMRB.MX,B,SERVICIOS Y BIENES DE CONSUMO NO BASICO,SERVICIOS AL CONSUMIDOR,,,
COLLADO,validado,COLLADO.MX,,MATERIALES,MATERIALES,,,
CONVER,validado,CONVERA.MX,A,MATERIALES,MATERIALES,,,
CREAL,validado,CREAL.MX,,SERVICIOS FINANCIEROS,ENTIDADES FINANCIERAS,,,
CUERVO,validado,CUERVO.MX,,PRODUCTOS DE CONSUMO FRECUENTE,"ALIMENTOS, BEBIDAS Y TABACO",,,
CULTIBA,validado,CULTIBAB.MX,B,PRODUCTOS DE CONSUMO FRECUENTE,"ALIMENTOS, BEBIDAS Y TABACO",,,
CYDSASA,validado,CYDSASAA.MX,A,MATERIALES,MATERIALES,,,
DINE,validado,DINEA.MX,A,INDUSTRIAL,CONSTRUCCION,,,
EDOARDO,validado,EDOARDOB.MX,B,SERVICIOS Y BIENES DE CONSUMO NO BASICO,VENTA AL POR MENOR,,,
ELEKTRA,validado,ELEKTRA.MX,,SERVICIOS Y BIENES DE CONSUMO NO BASICO,VENTA AL POR MENOR,,,
ELEMENT,validado,ELEMENT.MX,,MATERIALES,MATERIALES,,,
FEMSA,validado,FEMSAUBD.MX,UBD,PRODUCTOS DE CONSUMO FRECUENTE,"ALIMENTOS, BEBIDAS Y TABACO",,,
FINAMEX,validado,FINAMEXO.MX,O,SERVICIOS FINANCIEROS,ENTIDADES FINANCIERAS,,,
FINDEP,validado,FINDEP.MX,,SERVICIOS FINANCIEROS,ENTIDADES FINANCIERAS,,,
FRAGUA,validado,FRAGUAB.MX,B,SALUD,"EQUIPO, MEDICAMENTOS Y SERVICIOS MEDICOS",,,
GAP,validado,GAPB.MX,B,INDUSTRIAL,TRANSPORTES,Grupo Aeropuertario del Pacifico,SAB,CV
GBM,validado,GBMINTBO.MX,INTBO,SERVICIOS FINANCIEROS,ENTIDADES FINANCIERAS,,,
GCARSO,validado,GCARSOA1.MX,A1,INDUSTRIAL,BIENES DE EQUIPO,,,
GCC,validado,GCC.MX,,MATERIALES,MATERIALES,,,
GENSEG,validado,GENSEG.MX,,SERVICIOS FINANCIEROS,ENTIDADES FINANCIERAS,General de Seguros,SAB,
GENTERA,validado,GENTERA.MX,,SERVICIOS FINANCIEROS,ENTIDADES FINANCIERAS,,,
GEO,validado,GEOB.MX,B,INDUSTRIAL,CONSTRUCCION,,,
GFAMSA,validado,GFAMSAA.MX,A,SERVICIOS Y BIENES DE CONSUMO NO BASICO,VENTA AL POR MENOR,,,
GFINBUR,validado,GFINBURO.MX,O,SERVICIOS FINANCIEROS,ENTIDADES FINANCIERAS,,,
GFMULTI,validado,GFMULTIO.MX,O,SERVICIOS FINANCIEROS,ENTIDADES FINANCIERAS,Grupo financiero multiva,SAB,CV
